NAME,YEAR,AUTHOR,MUSEUM,STYLE,AMOUNT,SEGURO_TOTAL
Fantasy Tranquility Dream 1688,1549,Jasper Johns,Metropolitan Museum of Art,Romanticism,11410938,0.731906506
Passion Harmony Sunset 1755,1944,Paul Cezanne,Metropolitan Museum of Art,Impressionism,9522004,0.15014751
Memories Time Journey 1581,1975,Rembrandt van Rijn,The British Museum,Renaissance,9235730,0.280017279
Memories Light Reflections 2514,1611,Alfred Sisley,Louvre Museum,Cubism,14702628,0.145774069
Reflections Beauty Sunset 2621,1759,Edouard Manet,The British Museum,Expressionism,6885549,0.227465736
Beauty Colors Sunset 1955,1955,Jackson Pollock,Tate Modern,Impressionism,6525376,0.675163614
Sunset Journey Euphoria 2655,1894,Frida Kahlo,Uffizi Gallery,Minimalism,2068095,0.494757504
Light Reflections Memories 2529,1518,Gustav Klimt,Museum of Modern Art,Renaissance,3479041,0.847013468
Serenity Whispers Time 2471,1580,Jasper Johns,Prado Museum,Surrealism,14199867,0.239666927
Balance Journey Sunset 1560,1575,Claude Monet,Vatican Museums,Minimalism,13386446,0.901371156
Sunset Reflections Rhythm 1644,1633,Pablo Picasso,National Gallery,Realism,9557266,0.590461965
Balance Ocean Journey 1711,1749,Jean-Michel Basquiat,Tate Modern,Expressionism,7784106,0.616066552
Whispers Memories Forest 1862,1587,Henri Matisse,The British Museum,Baroque,13666966,0.771386555
Fantasy Whispers Tranquility 1625,2001,Leonardo da Vinci,Tate Modern,Renaissance,3021918,0.2133873
Ocean Memories Journey 1963,1662,Caravaggio,National Gallery,Minimalism,6284024,0.183952002
Reflections Sunset Dream 1515,1553,Edvard Munch,Tate Modern,Abstract,5123815,0.700412589
Euphoria Fantasy Light 2052,1827,Jean-Michel Basquiat,Uffizi Gallery,Cubism,8249207,0.476416999
Dream Reflections Journey 2626,1604,Jackson Pollock,Metropolitan Museum of Art,Expressionism,6485105,0.146423956
Nature Memories Sunset 2456,1859,Jasper Johns,National Gallery,Realism,12050975,0.861851249
Rhythm Journey Love 1615,1946,Paul Cezanne,Vatican Museums,Realism,9817391,0.160851633
Balance Forest Sunset 1839,1519,Alfred Sisley,National Gallery,Baroque,13270358,0.00152195
Whispers Euphoria Beauty 2033,2002,Rembrandt van Rijn,The British Museum,Cubism,6522872,0.862104008
Tranquility Journey Harmony 2115,1893,Michelangelo Buonarroti,National Gallery,Baroque,13466358,0.487266862
Tranquility Colors Ocean 2491,1913,Georgia O'Keeffe,Vatican Museums,Romanticism,5607811,0.395826019
Nature Chaos Nature 2426,1521,Pablo Picasso,Museum of Modern Art,Expressionism,13205881,0.137719354
Love Time Journey 2137,1822,Jean-Michel Basquiat,Museum of Modern Art,Realism,5756850,0.860908769
Whispers Euphoria Colors 2127,1944,Peter Paul Rubens,Louvre Museum,Impressionism,9266406,0.677936108
Dream Forest Colors 2374,1817,Lucian Freud,The British Museum,Realism,5061731,0.826716359
Time Sunset Rhythm 2509,1861,Jackson Pollock,Louvre Museum,Minimalism,2529063,0.54425117
Reflections Light Beauty 2421,1788,Claude Monet,The British Museum,Impressionism,2047779,0.639164355
Journey Reflections Sunset 1619,1744,Alfred Sisley,State Hermitage Museum,Baroque,3248940,0.022873139
Abstract Memories Colors 2255,1561,Leonardo da Vinci,National Gallery,Renaissance,4556406,0.35533785
Time Memories Abstract 2384,1774,Pablo Picasso,State Hermitage Museum,Abstract,1928466,0.924262933
Awakening Passion Reflections 1762,1942,Jasper Johns,Uffizi Gallery,Renaissance,12291587,0.41749831
Passion Serenity Serenity 1789,2012,Caravaggio,Museum of Modern Art,Minimalism,13328965,0.91763966
Memories Beauty Tranquility 2455,1650,Claude Monet,National Gallery,Surrealism,5205341,0.138283597
Tranquility Chaos Memories 1696,1673,Jasper Johns,Tate Modern,Romanticism,2299672,0.239673353
Balance Whispers Beauty 1681,1566,Jasper Johns,Uffizi Gallery,Renaissance,12942357,0.810268886
Light Harmony Euphoria 1574,1604,Jackson Pollock,Prado Museum,Romanticism,6497437,0.031919061
Light Reflections Love 1684,1778,Leonardo da Vinci,Vatican Museums,Baroque,4487461,0.591422075
Euphoria Whispers Rhythm 1852,1557,Banksy,Vatican Museums,Expressionism,14077616,0.530089879
Reflections Abstract Euphoria 1785,1682,Banksy,National Gallery,Impressionism,13587264,0.447188715
Sunset Awakening Fantasy 2429,1574,Lucian Freud,Prado Museum,Impressionism,7941681,0.412178446
Fantasy Awakening Colors 2376,1636,Caravaggio,State Hermitage Museum,Realism,8456148,0.694372566
Balance Balance Whispers 1587,1889,Salvador Dali,Metropolitan Museum of Art,Cubism,11126934,0.272606207
Sunset Reflections Journey 2660,1504,Edvard Munch,Vatican Museums,Impressionism,8600944,0.040090965
Ocean Time Colors 1727,1865,Jean-Michel Basquiat,Tate Modern,Impressionism,1109460,0.205333578
Memories Reflections Journey 2435,1866,Andy Warhol,Tate Modern,Surrealism,6383376,0.538873164
Memories Colors Fantasy 2000,1912,Michelangelo Buonarroti,Museum of Modern Art,Abstract,4766568,0.44590766
Love Sunset Abstract 1881,1642,Diego Rivera,Museum of Modern Art,Minimalism,6256562,0.984711409
Rhythm Harmony Whispers 1947,1541,Leonardo da Vinci,Vatican Museums,Realism,11517212,0.029200979
Reflections Time Whispers 2130,1907,Jackson Pollock,Tate Modern,Abstract,14998092,0.337837619
Forest Passion Awakening 2097,1515,Michelangelo Buonarroti,Vatican Museums,Romanticism,13225670,0.810427088
Ocean Awakening Ocean 1689,1781,Salvador Dali,Tate Modern,Impressionism,9284570,0.057528925
Love Light Ocean 2525,1710,Pablo Picasso,Louvre Museum,Romanticism,12258458,0.921540787
Memories Tranquility Love 2640,1614,Georgia O'Keeffe,National Gallery,Romanticism,4378898,0.613658072
Light Whispers Tranquility 2629,1919,Michelangelo Buonarroti,State Hermitage Museum,Romanticism,8863299,0.288020419
Euphoria Beauty Reflections 1968,1682,Edvard Munch,Museum of Modern Art,Impressionism,6333960,0.262323134
Chaos Journey Love 2382,1990,Vincent van Gogh,Uffizi Gallery,Romanticism,3037178,0.128993013
Harmony Light Beauty 1707,1941,Leonardo da Vinci,Museum of Modern Art,Minimalism,4693179,0.614323511
Chaos Serenity Serenity 2087,1879,Henri Matisse,Uffizi Gallery,Impressionism,6550381,0.993053722
Dream Forest Colors 1649,1790,Jackson Pollock,Uffizi Gallery,Realism,14908662,0.861532782
Chaos Harmony Journey 1950,2021,Pablo Picasso,Louvre Museum,Minimalism,12449726,0.082715465
Forest Dream Tranquility 1505,1601,Gustav Klimt,The British Museum,Minimalism,1941100,0.264903836
Chaos Memories Nature 2537,2000,Claude Monet,Vatican Museums,Minimalism,14011000,0.317375684
Dream Euphoria Ocean 2035,1807,Paul Cezanne,Vatican Museums,Expressionism,2677890,0.278309672
Fantasy Beauty Balance 2404,1596,Pablo Picasso,Vatican Museums,Impressionism,9169866,0.520204104
Nature Ocean Love 1759,1643,Paul Cezanne,Uffizi Gallery,Impressionism,6179975,0.103014669
Rhythm Whispers Sunset 2581,1924,Michelangelo Buonarroti,Tate Modern,Surrealism,1377119,0.831544571
Tranquility Chaos Reflections 2577,1954,Diego Rivera,The British Museum,Impressionism,5379892,0.559783747
Tranquility Reflections Balance 1952,1982,Rembrandt van Rijn,National Gallery,Baroque,4520158,0.988559571
Balance Harmony Abstract 2133,1963,Claude Monet,The British Museum,Surrealism,7942240,0.061496774
Harmony Rhythm Reflections 1647,1856,Jasper Johns,Tate Modern,Surrealism,10079170,0.395425581
Time Awakening Awakening 1814,1525,Edvard Munch,Louvre Museum,Impressionism,7869652,0.354802016
Serenity Harmony Serenity 1535,1869,Andy Warhol,Museum of Modern Art,Baroque,6285693,0.452233821
Fantasy Whispers Abstract 1847,1850,Edvard Munch,The British Museum,Surrealism,5735608,0.607431674
Abstract Nature Light 2537,1541,Edvard Munch,State Hermitage Museum,Abstract,12977332,0.484954296
Dream Light Beauty 1837,1983,Caravaggio,Museum of Modern Art,Cubism,9912510,0.194936075
Nature Balance Serenity 1665,1784,Peter Paul Rubens,State Hermitage Museum,Realism,10632091,0.699091874
Chaos Memories Journey 2569,1510,Paul Cezanne,Tate Modern,Expressionism,8043208,0.048585357
Balance Tranquility Abstract 1901,1918,Vincent van Gogh,Vatican Museums,Romanticism,10857591,0.232168886
Colors Journey Passion 1916,1663,Jasper Johns,The British Museum,Baroque,7666979,0.977464829
Serenity Tranquility Memories 2587,1883,Edouard Manet,Metropolitan Museum of Art,Surrealism,14070780,0.722746198
Dream Balance Abstract 2139,1650,Rembrandt van Rijn,Museum of Modern Art,Romanticism,4894174,0.489017738
Light Love Forest 2137,1659,Diego Rivera,Prado Museum,Expressionism,11540598,0.631691823
Journey Balance Passion 1875,1937,Henri Matisse,Vatican Museums,Impressionism,12804383,0.611294827
Abstract Nature Time 2064,1635,Claude Monet,Uffizi Gallery,Baroque,2550260,0.377614202
Balance Serenity Light 2116,1526,Edvard Munch,State Hermitage Museum,Cubism,10642903,0.403178811
Abstract Whispers Chaos 1557,1638,Rembrandt van Rijn,Tate Modern,Romanticism,9193952,0.074245992
Love Abstract Serenity 1691,1523,Jean-Michel Basquiat,Uffizi Gallery,Minimalism,5278259,0.770482354
Awakening Time Fantasy 2443,1887,Banksy,State Hermitage Museum,Abstract,6230366,0.046493304
Harmony Rhythm Dream 1834,1795,Alfred Sisley,Uffizi Gallery,Romanticism,9116609,0.633354511
Chaos Balance Ocean 1769,1707,Rembrandt van Rijn,Museum of Modern Art,Realism,9663630,0.241002094
Serenity Tranquility Whispers 1718,2001,Salvador Dali,Louvre Museum,Surrealism,8278606,0.282964496
Harmony Awakening Harmony 1508,1578,Alfred Sisley,National Gallery,Minimalism,7084456,0.183846639
Whispers Sunset Harmony 2421,1891,Leonardo da Vinci,Uffizi Gallery,Abstract,4184091,0.111603493
Awakening Colors Beauty 2169,1881,Peter Paul Rubens,State Hermitage Museum,Cubism,7638740,0.344213218
Memories Abstract Ocean 2603,1587,Peter Paul Rubens,Tate Modern,Cubism,8203965,0.943120416
Nature Love Euphoria 2506,1897,Frida Kahlo,Metropolitan Museum of Art,Romanticism,5695190,0.812629839
Memories Ocean Serenity 2010,1763,Caravaggio,Metropolitan Museum of Art,Expressionism,12032427,0.552524978
Memories Memories Harmony 2147,1871,Pablo Picasso,National Gallery,Romanticism,11760800,0.324935047
Love Love Journey 2399,1641,Pablo Picasso,Uffizi Gallery,Expressionism,12497250,0.483564681
Passion Nature Abstract 2625,1734,Jean-Michel Basquiat,Louvre Museum,Realism,6195266,0.63785223
Ocean Fantasy Abstract 2194,1568,Vincent van Gogh,National Gallery,Realism,9954449,0.82048614
Love Colors Ocean 2669,1839,Jasper Johns,State Hermitage Museum,Realism,3114631,0.019374771
Memories Whispers Whispers 2336,1580,Banksy,Vatican Museums,Expressionism,9935324,0.839771905
Ocean Nature Fantasy 1998,1778,Vincent van Gogh,Louvre Museum,Renaissance,10567372,0.71958006
Forest Dream Chaos 1617,1668,Mark Rothko,Louvre Museum,Impressionism,7357060,0.407337333
Balance Rhythm Chaos 1582,1798,Diego Rivera,Louvre Museum,Renaissance,1517854,0.891576727
Awakening Harmony Euphoria 2439,1774,Jasper Johns,National Gallery,Abstract,6337709,0.719838692
Love Harmony Harmony 2684,1604,Rembrandt van Rijn,The British Museum,Baroque,2398980,0.584159178
Light Beauty Abstract 1945,1655,Jasper Johns,Prado Museum,Surrealism,4537693,0.333988754
Nature Light Sunset 1557,1720,Alfred Sisley,Louvre Museum,Renaissance,12306408,0.722413191
Colors Whispers Passion 2050,1946,Pablo Picasso,Museum of Modern Art,Impressionism,1201976,0.316780174
Love Nature Fantasy 2586,1761,Edouard Manet,Metropolitan Museum of Art,Baroque,7272413,0.092324691
Reflections Colors Memories 1803,1625,Banksy,Museum of Modern Art,Minimalism,1163532,0.380350327
Reflections Memories Colors 1823,1703,Georgia O'Keeffe,Louvre Museum,Minimalism,4759306,0.750129647
Reflections Rhythm Light 2632,1638,Jackson Pollock,Prado Museum,Renaissance,9841152,0.651593164
Whispers Beauty Chaos 1986,1831,Mark Rothko,Prado Museum,Renaissance,7364577,0.668296852
Awakening Whispers Dream 1718,1851,Edvard Munch,Uffizi Gallery,Renaissance,13018815,0.284239345
Beauty Tranquility Passion 2156,1802,Peter Paul Rubens,Metropolitan Museum of Art,Realism,12518735,0.622123286
Dream Dream Love 2592,1934,Jackson Pollock,National Gallery,Minimalism,12908098,0.296895503
Tranquility Beauty Rhythm 2617,1618,Lucian Freud,National Gallery,Romanticism,5527669,0.200312542
Serenity Dream Dream 1730,1641,Diego Rivera,Vatican Museums,Renaissance,4040348,0.628806097
Time Passion Colors 2241,1897,Jean-Michel Basquiat,Museum of Modern Art,Expressionism,1059001,0.748605737
Ocean Whispers Harmony 2578,1934,Mark Rothko,Metropolitan Museum of Art,Baroque,4381075,0.020029494
Fantasy Serenity Reflections 1775,1887,Lucian Freud,Museum of Modern Art,Minimalism,11619681,0.493741632
Passion Light Tranquility 2484,2013,Vincent van Gogh,The British Museum,Minimalism,14476333,0.562853853
Abstract Time Fantasy 1736,1697,Rembrandt van Rijn,National Gallery,Abstract,5814817,0.599846899
Sunset Euphoria Tranquility 2195,1578,Claude Monet,Tate Modern,Abstract,4090359,0.409943779
Serenity Euphoria Balance 2262,1840,Gustav Klimt,Tate Modern,Impressionism,6363158,0.770417106
Colors Journey Tranquility 1792,1519,Jean-Michel Basquiat,National Gallery,Abstract,3525388,0.219419899
Awakening Awakening Colors 1623,1553,Andy Warhol,Prado Museum,Renaissance,10790071,0.872502982
Love Rhythm Reflections 2646,1980,Gustav Klimt,National Gallery,Realism,5842386,0.719573408
Chaos Light Dream 2414,1600,Jackson Pollock,Louvre Museum,Realism,7473912,0.024590902
Ocean Chaos Whispers 1725,1953,Peter Paul Rubens,National Gallery,Minimalism,14790644,0.074568132
Sunset Time Beauty 1817,1634,Claude Monet,The British Museum,Expressionism,5980045,0.346968429
Sunset Harmony Harmony 1567,1656,Jasper Johns,State Hermitage Museum,Renaissance,11138196,0.183711333
Memories Euphoria Passion 2691,1748,Salvador Dali,Tate Modern,Realism,7668930,0.111227189
Passion Colors Reflections 1976,1515,Georgia O'Keeffe,Museum of Modern Art,Baroque,3972858,0.973334183
Euphoria Love Fantasy 1544,1984,Paul Cezanne,Louvre Museum,Impressionism,4253590,0.643022408
Memories Forest Whispers 2000,1985,Georgia O'Keeffe,State Hermitage Museum,Impressionism,2656031,0.011672328
Reflections Time Reflections 1672,1829,Claude Monet,Vatican Museums,Renaissance,12966210,0.664721231
Reflections Nature Fantasy 2524,1517,Pablo Picasso,Uffizi Gallery,Baroque,14815544,0.367956919
Passion Rhythm Awakening 1799,1859,Jasper Johns,Metropolitan Museum of Art,Impressionism,7945235,0.439654931
Beauty Passion Chaos 2335,1897,Andy Warhol,Tate Modern,Romanticism,9026214,0.987255175
Dream Love Journey 2142,1991,Leonardo da Vinci,Vatican Museums,Minimalism,6330537,0.708818886
Abstract Harmony Love 1909,1605,Paul Cezanne,The British Museum,Abstract,1098997,0.868735844
Light Chaos Whispers 2247,1884,Jasper Johns,State Hermitage Museum,Baroque,2479403,0.29070388
Fantasy Dream Euphoria 1777,1978,Jasper Johns,Vatican Museums,Baroque,12066456,0.286492971
Rhythm Serenity Forest 2442,1511,Leonardo da Vinci,Museum of Modern Art,Abstract,10825269,0.564439667
Rhythm Light Love 2291,1576,Pablo Picasso,State Hermitage Museum,Minimalism,3207273,0.08104514
Journey Fantasy Serenity 2427,1714,Lucian Freud,Vatican Museums,Realism,3318554,0.994996171
Light Sunset Love 2564,1660,Jackson Pollock,Louvre Museum,Expressionism,7125779,0.66047308
Memories Time Love 1522,1703,Paul Cezanne,Tate Modern,Renaissance,6850034,0.429634192
Abstract Serenity Abstract 1602,1977,Edvard Munch,The British Museum,Realism,4643551,0.692296205
Love Whispers Light 2390,1825,Edvard Munch,Uffizi Gallery,Minimalism,13519518,0.259075645
Journey Chaos Sunset 1971,1570,Salvador Dali,National Gallery,Abstract,11671015,0.313910434
Light Forest Passion 2154,1894,Georgia O'Keeffe,National Gallery,Impressionism,5473172,0.472194382
Sunset Awakening Whispers 2218,1555,Henri Matisse,Louvre Museum,Cubism,9744355,0.366871548
Beauty Awakening Dream 2487,1888,Banksy,Prado Museum,Baroque,8194459,0.005148053
Journey Colors Memories 1904,1600,Salvador Dali,Vatican Museums,Cubism,13596494,0.158438793
Abstract Beauty Abstract 2126,1757,Michelangelo Buonarroti,National Gallery,Renaissance,14287606,0.890699977
Whispers Memories Time 1987,1811,Vincent van Gogh,Metropolitan Museum of Art,Impressionism,14865170,0.925195724
Passion Whispers Tranquility 2423,2006,Lucian Freud,Vatican Museums,Baroque,5422349,0.578661554
Dream Ocean Love 2599,1968,Caravaggio,The British Museum,Surrealism,13618848,0.793887409
Colors Dream Colors 2644,1718,Henri Matisse,National Gallery,Renaissance,1920047,0.476498129
Light Harmony Serenity 1503,1811,Henri Matisse,Louvre Museum,Cubism,9005237,0.780688789
Dream Tranquility Chaos 2419,1991,Jasper Johns,Prado Museum,Cubism,2407065,0.280103533
Forest Euphoria Colors 1824,1767,Jean-Michel Basquiat,Uffizi Gallery,Romanticism,9225048,0.014985767
Harmony Harmony Harmony 2278,1583,Diego Rivera,Uffizi Gallery,Romanticism,2394370,0.393853803
Abstract Euphoria Serenity 1703,2013,Mark Rothko,Museum of Modern Art,Expressionism,13454039,0.181308229
Love Sunset Beauty 1813,1953,Peter Paul Rubens,Prado Museum,Romanticism,9626284,0.468725362
Reflections Rhythm Balance 2095,1574,Paul Cezanne,Uffizi Gallery,Surrealism,1929752,0.759710052
Journey Dream Colors 2175,1558,Georgia O'Keeffe,The British Museum,Cubism,9858386,0.733012081
Reflections Euphoria Fantasy 2677,1835,Diego Rivera,Metropolitan Museum of Art,Baroque,11529145,0.304381984
Reflections Memories Rhythm 1752,1745,Edvard Munch,The British Museum,Baroque,8350142,0.232404265
Light Rhythm Tranquility 1753,1848,Diego Rivera,State Hermitage Museum,Cubism,6720976,0.972642021
Time Dream Beauty 1972,1758,Jackson Pollock,Tate Modern,Renaissance,3099497,0.30631293
Tranquility Harmony Nature 1580,1805,Michelangelo Buonarroti,Vatican Museums,Surrealism,14316494,0.987430712
Light Light Forest 2456,1580,Jasper Johns,National Gallery,Baroque,10721742,0.34338431
Euphoria Rhythm Serenity 2694,1618,Georgia O'Keeffe,State Hermitage Museum,Renaissance,3895479,0.725607484
Harmony Beauty Love 2509,1717,Henri Matisse,Prado Museum,Surrealism,3030469,0.787920992
Light Rhythm Dream 1927,1581,Jasper Johns,State Hermitage Museum,Cubism,9376518,0.612889247
Chaos Euphoria Sunset 2679,1705,Edouard Manet,Louvre Museum,Expressionism,11419211,0.914002851
Reflections Passion Ocean 2690,1856,Henri Matisse,Louvre Museum,Expressionism,9934588,0.157676688
Dream Love Balance 1501,1561,Claude Monet,Tate Modern,Romanticism,1601798,0.646064094
Nature Nature Euphoria 2090,1557,Mark Rothko,Louvre Museum,Surrealism,6450341,0.464503851
Sunset Memories Dream 2010,1956,Banksy,Tate Modern,Expressionism,2797507,0.730446382
Memories Harmony Abstract 1563,1670,Lucian Freud,The British Museum,Cubism,11659021,0.597799824
Forest Abstract Light 2431,1660,Claude Monet,Tate Modern,Surrealism,11219469,0.775856719
Tranquility Reflections Forest 1560,1728,Claude Monet,Uffizi Gallery,Minimalism,1569917,0.554282587
Sunset Reflections Awakening 2262,1514,Banksy,Uffizi Gallery,Expressionism,11353945,0.844910563
Journey Rhythm Passion 2032,1925,Pablo Picasso,Tate Modern,Minimalism,5295170,0.547376404
Time Awakening Sunset 1858,1617,Jean-Michel Basquiat,Tate Modern,Baroque,12961366,0.925610008
Serenity Memories Colors 2050,1912,Edvard Munch,Prado Museum,Expressionism,14238139,0.155853376
Sunset Love Beauty 1729,1986,Claude Monet,Uffizi Gallery,Cubism,3187285,0.046313365
Love Euphoria Fantasy 1819,1924,Salvador Dali,Louvre Museum,Baroque,3900631,0.045455537
Beauty Tranquility Beauty 2361,1972,Lucian Freud,Tate Modern,Cubism,1581918,0.209165575
Ocean Nature Dream 2357,1782,Henri Matisse,Louvre Museum,Renaissance,3276168,0.288930775
Rhythm Passion Reflections 2222,1506,Caravaggio,Vatican Museums,Abstract,2634537,0.96177286
Harmony Abstract Serenity 2418,1873,Edouard Manet,The British Museum,Expressionism,5989252,0.944971077
Rhythm Dream Sunset 2279,1696,Michelangelo Buonarroti,Louvre Museum,Impressionism,11598104,0.602920705
Colors Rhythm Light 1939,1994,Vincent van Gogh,Prado Museum,Cubism,10217489,0.059370843
Passion Reflections Passion 2255,1509,Salvador Dali,National Gallery,Impressionism,14540499,0.577770315
Euphoria Journey Whispers 2081,1971,Michelangelo Buonarroti,Vatican Museums,Surrealism,11210708,0.28203732
Forest Reflections Tranquility 1984,1857,Michelangelo Buonarroti,Prado Museum,Romanticism,8781617,0.004747096
Nature Serenity Dream 2282,1555,Edouard Manet,The British Museum,Baroque,8999656,0.616965849
Reflections Harmony Harmony 2604,1702,Vincent van Gogh,The British Museum,Expressionism,6671090,0.859616535
Forest Love Memories 1640,1694,Jean-Michel Basquiat,National Gallery,Expressionism,9026920,0.940400467
Serenity Abstract Reflections 1942,1704,Diego Rivera,State Hermitage Museum,Baroque,7774842,0.388302751
Chaos Fantasy Tranquility 2574,1741,Michelangelo Buonarroti,State Hermitage Museum,Minimalism,11566905,0.50161572
Euphoria Passion Colors 2308,1679,Edouard Manet,Metropolitan Museum of Art,Realism,1518532,0.491072579
Harmony Awakening Time 1776,1656,Andy Warhol,Tate Modern,Surrealism,10022460,0.88895354
Euphoria Light Nature 1974,1840,Pablo Picasso,Tate Modern,Renaissance,3315919,0.40318415
Reflections Fantasy Journey 1679,1983,Alfred Sisley,National Gallery,Expressionism,9526493,0.919942475
Reflections Nature Balance 2279,1920,Jasper Johns,The British Museum,Romanticism,13919369,0.963518642
Forest Time Forest 1544,1783,Edouard Manet,Louvre Museum,Expressionism,7639703,0.246661875
Forest Colors Tranquility 2610,1745,Pablo Picasso,Uffizi Gallery,Baroque,10504692,0.833222265
Fantasy Chaos Ocean 1692,1871,Rembrandt van Rijn,State Hermitage Museum,Abstract,2171190,0.892370854
Euphoria Serenity Passion 1578,1541,Claude Monet,National Gallery,Impressionism,13475886,0.67753561
Nature Forest Ocean 2282,1823,Jackson Pollock,Vatican Museums,Renaissance,3820726,0.477655813
Time Passion Fantasy 1949,1799,Jasper Johns,State Hermitage Museum,Realism,10981625,0.771341036
Awakening Abstract Love 2497,1945,Pablo Picasso,The British Museum,Romanticism,8851964,0.082239365
Whispers Love Awakening 2255,1833,Mark Rothko,Metropolitan Museum of Art,Romanticism,10390061,0.845779012
Chaos Journey Ocean 2542,1969,Mark Rothko,Museum of Modern Art,Realism,2602197,0.429556773
Beauty Journey Fantasy 1854,1639,Gustav Klimt,Prado Museum,Romanticism,8454438,0.602713263
Chaos Fantasy Harmony 2612,1629,Diego Rivera,State Hermitage Museum,Cubism,14504604,0.380618065
Abstract Forest Euphoria 2599,1803,Vincent van Gogh,Uffizi Gallery,Cubism,2950146,0.116933855
Ocean Tranquility Ocean 2032,1876,Rembrandt van Rijn,Museum of Modern Art,Romanticism,12350146,0.921181068
Memories Dream Whispers 2397,1952,Georgia O'Keeffe,Museum of Modern Art,Renaissance,3500969,0.581327836
Light Fantasy Awakening 1777,1790,Jackson Pollock,Metropolitan Museum of Art,Cubism,1717042,0.564479742
Memories Awakening Forest 1837,1858,Leonardo da Vinci,Uffizi Gallery,Surrealism,9926440,0.426897688
Sunset Colors Time 1645,1792,Salvador Dali,Uffizi Gallery,Minimalism,3780339,0.545512942
Tranquility Light Euphoria 2296,1983,Jean-Michel Basquiat,Prado Museum,Abstract,5184550,0.235894732
Reflections Nature Nature 2361,1906,Alfred Sisley,State Hermitage Museum,Impressionism,14804049,0.691172399
Journey Tranquility Journey 2171,1598,Henri Matisse,Museum of Modern Art,Cubism,14694453,0.504864375
Fantasy Whispers Beauty 2010,1954,Claude Monet,Prado Museum,Impressionism,3011003,0.991883121
Whispers Time Journey 2462,1881,Peter Paul Rubens,Vatican Museums,Abstract,8478432,0.229522743
Time Rhythm Love 2277,1993,Caravaggio,National Gallery,Romanticism,2500528,0.608681655
Love Euphoria Memories 1731,1871,Salvador Dali,Museum of Modern Art,Romanticism,10081966,0.647279204
Time Nature Nature 2674,1569,Edvard Munch,National Gallery,Romanticism,8124598,0.257109554
Serenity Abstract Journey 2083,1958,Diego Rivera,Metropolitan Museum of Art,Surrealism,8684758,0.72579661
Love Harmony Forest 1772,1664,Georgia O'Keeffe,Uffizi Gallery,Renaissance,6896432,0.89682996
Time Beauty Love 2172,1535,Lucian Freud,Museum of Modern Art,Expressionism,2093554,0.675496783
Serenity Beauty Chaos 2522,1794,Paul Cezanne,Prado Museum,Renaissance,9596300,0.783315741
Euphoria Whispers Awakening 2194,1980,Rembrandt van Rijn,State Hermitage Museum,Surrealism,12200664,0.366765424
Chaos Time Abstract 1673,1873,Leonardo da Vinci,Uffizi Gallery,Impressionism,2671072,0.442237851
Whispers Time Nature 1571,1577,Jasper Johns,Uffizi Gallery,Cubism,4710632,0.899799623
Beauty Chaos Forest 1806,1770,Jasper Johns,Vatican Museums,Abstract,12506884,0.856407762
Tranquility Whispers Whispers 2570,1534,Edvard Munch,Uffizi Gallery,Cubism,10471699,0.142452282
Forest Passion Memories 2664,1760,Banksy,Tate Modern,Abstract,5676670,0.681438867
Balance Balance Tranquility 2397,1548,Caravaggio,Uffizi Gallery,Impressionism,5178317,0.902280598
Fantasy Time Love 2249,1840,Salvador Dali,Museum of Modern Art,Abstract,14664486,0.727649233
Awakening Forest Reflections 1869,1511,Banksy,National Gallery,Abstract,14494031,0.55059126
Chaos Serenity Chaos 1892,1679,Andy Warhol,National Gallery,Renaissance,3810418,0.999728473
Nature Abstract Serenity 2083,1742,Mark Rothko,Louvre Museum,Cubism,7144676,0.683978103
Time Fantasy Chaos 1571,1883,Michelangelo Buonarroti,Vatican Museums,Surrealism,6242729,0.677855275
Awakening Journey Serenity 2035,1538,Frida Kahlo,Metropolitan Museum of Art,Minimalism,4378315,0.2655011
Nature Forest Awakening 1965,1924,Caravaggio,Uffizi Gallery,Expressionism,5051197,0.108598905
Memories Sunset Sunset 2567,1951,Jackson Pollock,Prado Museum,Cubism,10546062,0.150622126
Journey Time Rhythm 2267,1570,Caravaggio,Prado Museum,Impressionism,11821003,0.076079658
Nature Memories Reflections 2259,1674,Jean-Michel Basquiat,Uffizi Gallery,Cubism,6448755,0.607966521
Tranquility Journey Chaos 1871,1909,Caravaggio,Metropolitan Museum of Art,Expressionism,11060937,0.242030984
Ocean Whispers Whispers 2158,1887,Leonardo da Vinci,Vatican Museums,Minimalism,13259024,0.240480683
Reflections Memories Dream 2202,1530,Henri Matisse,Metropolitan Museum of Art,Renaissance,13047294,0.255330325
Sunset Fantasy Colors 1590,1907,Paul Cezanne,Vatican Museums,Expressionism,5932383,0.751115315
Reflections Chaos Dream 1844,1561,Frida Kahlo,State Hermitage Museum,Abstract,4423323,0.603073476
Chaos Reflections Awakening 1594,1816,Lucian Freud,Prado Museum,Abstract,2507165,0.995629803
Memories Abstract Harmony 2548,2011,Gustav Klimt,Louvre Museum,Romanticism,14352370,0.775096322
Dream Tranquility Rhythm 2242,1709,Edvard Munch,Metropolitan Museum of Art,Renaissance,2774830,0.986608933
Euphoria Tranquility Beauty 2586,1881,Caravaggio,Prado Museum,Renaissance,1843071,0.827402376
Whispers Passion Time 1610,1839,Jasper Johns,The British Museum,Renaissance,7065738,0.971908417
Whispers Time Sunset 1955,1947,Edvard Munch,Louvre Museum,Impressionism,7180995,0.974240337
